sys.exec.out.time {s},test.att_manager.maneuver.active {--},test.att_manager.maneuver.maneuvering {--},test.att_manager.maneuver.currentEuler {rad},test.att_manager.maneuver.eulerTarget {rad},test.att_manager.quatBodyWrtRef.scalar {--},test.att_manager.quatBodyWrtRef.vector[0] {--},test.att_manager.quatBodyWrtRef.vector[1] {--},test.att_manager.quatBodyWrtRef.vector[2] {--},test.att_manager.maneuver.mnvrRate[0] {rad/s},test.att_manager.maneuver.mnvrRate[1] {rad/s},test.att_manager.maneuver.mnvrRate[2] {rad/s}
                10.1,0,0,   0.550000000000002,  0.5496313191970182,   0.963631009740209, -0.2667684285595711,0.009421863778562597,-0.01269295370891653,               0.002,9.39059190995282e-05,-0.0001260175830111451
                10.2,0,0,   0.550000000000002,  0.5496313191970182,  0.9636044522646987, -0.2668647900871563,0.009414389027392379,-0.01268907666562968,               0.002,9.39059190995282e-05,-0.0001260175830111451
                10.3,0,0,   0.550000000000002,  0.5496313191970182,  0.9635778850936443, -0.2669611489296155,0.009406914181496955,-0.01268519949466855,               0.002,9.39059190995282e-05,-0.0001260175830111451
                10.4,0,0,   0.550000000000002,  0.5496313191970182,  0.9635513082273128, -0.2670575050859793,0.009399439240951555,-0.01268132219607216,               0.002,9.39059190995282e-05,-0.0001260175830111451
                10.5,0,0,   0.550000000000002,  0.5496313191970182,   0.963524721665972,  -0.267153858555278, 0.00939196420583137, -0.0126774447698795,               0.002,9.39059190995282e-05,-0.0001260175830111451
                10.6,0,0,   0.550000000000002,  0.5496313191970182,  0.9634981254098897, -0.2672502093365422,0.009384489076211616,-0.01267356721612962,               0.002,9.39059190995282e-05,-0.0001260175830111451
                10.7,0,0,   0.550000000000002,  0.5496313191970182,   0.963471519459333, -0.2673465574288022, 0.00937701385216751, -0.0126696895348615,               0.002,9.39059190995282e-05,-0.0001260175830111451
                10.8,0,0,   0.550000000000002,  0.5496313191970182,  0.9634449038145696, -0.2674429028310891, 0.00936953853377427,-0.01266581172611417,               0.002,9.39059190995282e-05,-0.0001260175830111451
                10.9,0,0,   0.550000000000002,  0.5496313191970182,  0.9634182784758676, -0.2675392455424331,0.009362063121107099,-0.01266193378992665,               0.002,9.39059190995282e-05,-0.0001260175830111451
                  11,0,0,   0.550000000000002,  0.5496313191970182,  0.9633916434434947,  -0.267635585561865,0.009354587614241218,-0.01265805572633797,               0.002,9.39059190995282e-05,-0.0001260175830111451
