sys.exec.out.time {s},test.att_manager.perturbation.randomRates {--},test.att_manager.perturbation.prescribedAng[0] {rad},test.att_manager.perturbation.prescribedAng[1] {rad},test.att_manager.perturbation.prescribedAng[2] {rad},test.att_manager.perturbation.driftRate[0] {rad/s},test.att_manager.perturbation.driftRate[1] {rad/s},test.att_manager.perturbation.driftRate[2] {rad/s}
                13.1,0,-0.006184999999999979,-0.001180000000000099,-0.003839999999999812,              -0.002,              -0.002,               0.002
                13.2,0,-0.006384999999999974,-0.001380000000000099,-0.003639999999999812,              -0.002,              -0.002,               0.002
                13.3,0,-0.006584999999999973,-0.001580000000000102,-0.003439999999999808,              -0.002,              -0.002,               0.002
                13.4,0,-0.006784999999999968,-0.001780000000000101,-0.003239999999999808,              -0.002,              -0.002,               0.002
                13.5,0,-0.006984999999999963,-0.001980000000000101,-0.003039999999999808,              -0.002,              -0.002,               0.002
                13.6,0,-0.007184999999999959,-0.002180000000000101,-0.002839999999999808,              -0.002,              -0.002,               0.002
                13.7,0,-0.007384999999999954,-0.002380000000000101,-0.002639999999999808,              -0.002,              -0.002,               0.002
                13.8,0,-0.007584999999999953,-0.002580000000000105,-0.002439999999999804,              -0.002,              -0.002,               0.002
                13.9,0,-0.007784999999999948,-0.002780000000000105,-0.002239999999999804,              -0.002,              -0.002,               0.002
                  14,0,-0.007984999999999944,-0.002980000000000105,-0.002039999999999804,              -0.002,              -0.002,               0.002
                14.1,0,-0.008184999999999939,-0.003180000000000105,-0.001839999999999804,              -0.002,              -0.002,               0.002
                14.2,0,-0.008384999999999934,-0.003380000000000106,-0.001639999999999804,              -0.002,              -0.002,               0.002
                14.3,0,-0.008584999999999933,-0.00358000000000011,-0.001439999999999801,              -0.002,              -0.002,               0.002
                14.4,0,-0.008784999999999928,-0.00378000000000011,-0.001239999999999802,              -0.002,              -0.002,               0.002
                14.5,0,-0.008984999999999924,-0.003980000000000108,-0.001039999999999802,              -0.002,              -0.002,               0.002
                14.6,0,-0.009184999999999919,-0.004180000000000104,-0.0008399999999998029,              -0.002,              -0.002,               0.002
                14.7,0,-0.009384999999999914,-0.004380000000000099,-0.0006399999999998042,              -0.002,              -0.002,               0.002
                14.8,0,-0.009584999999999913,-0.004580000000000098,-0.0004399999999998019,              -0.002,              -0.002,               0.002
                14.9,0,-0.009784999999999908,-0.004780000000000093,-0.0002399999999998027,              -0.002,              -0.002,               0.002
                  15,0,-0.009984999999999904,-0.004980000000000089,-3.999999999980332e-05,              -0.002,              -0.002,               0.002
                15.1,0,-0.009824999999999907,-0.005180000000000084,0.000160000000000196,               0.002,              -0.002,               0.002
                15.2,0,-0.009624999999999911,-0.005380000000000079,0.0003600000000001953,               0.002,              -0.002,               0.002
                15.3,0,-0.009424999999999913,-0.005580000000000078,0.0005600000000001978,               0.002,              -0.002,               0.002
                15.4,0,-0.009224999999999917,-0.005780000000000073,0.0007600000000001965,               0.002,              -0.002,               0.002
                15.5,0,-0.009024999999999922,-0.005980000000000069,0.0009600000000001952,               0.002,              -0.002,               0.002
                15.6,0,-0.008824999999999927,-0.006180000000000064,0.001160000000000195,               0.002,              -0.002,               0.002
                15.7,0,-0.008624999999999931,-0.006380000000000059,0.001360000000000194,               0.002,              -0.002,               0.002
                15.8,0,-0.008424999999999933,-0.006580000000000058,0.001560000000000198,               0.002,              -0.002,               0.002
                15.9,0,-0.008224999999999937,-0.006780000000000053,0.001760000000000197,               0.002,              -0.002,               0.002
                  16,0,-0.008024999999999942,-0.006980000000000049,0.001960000000000197,               0.002,              -0.002,               0.002
                16.1,0,-0.007824999999999943,-0.007180000000000047,0.002160000000000198,               0.002,              -0.002,               0.002
                16.2,0,-0.007624999999999951,-0.007380000000000039,0.002360000000000192,               0.002,              -0.002,               0.002
