sys.exec.out.time {s},test_object.var {--}
                21.9,  0.5184674891072945
                  22,                 0.5
                22.1,  0.5184674891072929
                22.2,  0.5734152255572689
                22.3,  0.6634902137174477
                22.4,  0.7864745084375726
                22.5,  0.9393398282201799
                22.6,   1.118322121561293
                22.7,   1.319014250390674
                22.8,   1.536474508437574
                22.9,    1.76534830243965
                  23,   1.999999999999997
                23.1,   2.234651697560345
                23.2,   2.463525491562421
                23.3,   2.680985749609321
                23.4,   2.881677878438703
                23.5,   3.060660171779817
                23.6,   3.213525491562424
                23.7,    3.33650978628255
                23.8,    3.42658477444273
                23.9,   3.481532510892706
                  24,                   1
                24.1,   1.019214719596769
                24.2,   1.076120467488711
                24.3,   1.168530387697456
                24.4,   1.292893218813453
                24.5,   1.444429766980398
                24.6,   1.617316567634909
                24.7,    1.80490967798387
                24.8,   1.999999999999998
                24.9,   2.195090322016125
                  25,   2.382683432365087
                25.1,   2.555570233019599
                25.2,   2.707106781186544
                25.3,   2.831469612302542
                25.4,   2.923879532511287
                25.5,    2.98078528040323
                25.6,                   3
                25.7,    2.98078528040323
                25.8,   2.923879532511287
                25.9,   2.831469612302547
                  26,    2.70710678118655
                26.1,   2.555570233019605
                26.2,   2.382683432365094
                26.3,   2.195090322016133
                26.4,   2.000000000000006
                26.5,   1.804909677983871
                26.6,    1.61731656763491
                26.7,   1.444429766980398
                26.8,   1.292893218813453
                26.9,   1.168530387697456
                  27,   1.076120467488714
                27.1,    1.01921471959677
                27.2,                   1
                27.3,   1.019214719596771
                27.4,   1.076120467488717
                27.5,   1.168530387697459
                27.6,   1.292893218813458
                27.7,   1.444429766980397
                27.8,   1.617316567634916
                27.9,   1.804909677983877
                  28,                 3.5
                28.1,   3.481532510892703
                28.2,    3.42658477444273
                28.3,    3.33650978628255
                28.4,   3.213525491562412
                28.5,   3.060660171779809
                28.6,   2.881677878438695
                28.7,   2.680985749609312
                28.8,   2.463525491562411
                28.9,   2.234651697560335
